,Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate,collection_time,mid_iv,Put_Price
71,58252.3746,0.0733,2024-09-02 14:28:56,132.49,0.076,0.0,0.0715,0.98137,-48.75672,2e-05,1.22104,1.11818,79.86,BTC,2024-09-03,54000.0,Call,4269.899058180001,0.0054794520547945,0.0529857534246575,2024-09-02 14:29:40,0.7986,11.65227976
72,58285.8793,0.0738,2024-09-02 14:31:40,126.49,0.076,0.0,0.0715,0.98283,-45.12513,2e-05,1.13864,1.11798,79.26,BTC,2024-09-03,54000.0,Call,4301.49789234,0.0054794520547945,0.0529857534246575,2024-09-02 14:32:41,0.7926000000000001,11.65939568
73,58207.4977,0.0725,2024-09-02 14:34:41,128.23,0.075,0.0,0.0705,0.98132,-48.35183,2e-05,1.22005,1.11311,79.26,BTC,2024-09-03,54000.0,Call,4220.04358325,0.0054794520547945,0.0529857534246575,2024-09-02 14:35:28,0.7926000000000001,11.642223260000002
74,58170.4938,0.0719,2024-09-02 14:37:28,122.23,0.074,0.0,0.07,0.98068,-49.63601,2e-05,1.25246,1.10831,79.26,BTC,2024-09-03,54000.0,Call,4182.45850422,0.0054794520547945,0.0529857534246575,2024-09-02 14:38:19,0.7926000000000001,17.45186691
75,58176.2796,0.0722,2024-09-02 14:40:19,127.87,0.0745,0.0,0.07,0.98091,-49.08815,2e-05,1.23882,1.10658,79.25,BTC,2024-09-03,54000.0,Call,4200.32738712,0.0054794520547945,0.0529857534246575,2024-09-02 14:41:08,0.7925,11.64032992
76,58204.2036,0.0725,2024-09-02 14:43:08,122.7,0.0745,0.0,0.07,0.98122,-48.58054,2e-05,1.22047,1.10393,79.61,BTC,2024-09-03,54000.0,Call,4219.804760999999,0.0054794520547945,0.0529857534246575,2024-09-02 14:43:50,0.7961,11.64224508
77,58408.4874,0.0756,2024-09-02 15:29:09,140.09,0.0785,0.0,0.0735,0.9897,-27.26438,1e-05,0.71376,1.06661,76.4,BTC,2024-09-03,54000.0,Call,4415.68164744,0.0054794520547945,0.0529857534246575,2024-09-02 15:29:52,0.764,5.8429604600000005
78,58693.88,0.0801,2024-09-02 15:33:52,132.49,0.082,0.0,0.078,0.99201,-22.39298,1e-05,0.57307,1.0642,78.15,BTC,2024-09-03,54000.0,Call,4701.379788,0.0054794520547945,0.0529857534246575,2024-09-02 15:34:41,0.7815000000000001,5.8727376200000005
79,58663.0937,0.0795,2024-09-02 15:38:41,131.83,0.0815,0.0,0.0775,0.99032,-27.1091,1e-05,0.67611,1.05814,80.19,BTC,2024-09-03,54000.0,Call,4663.71594915,0.0054794520547945,0.0529857534246575,2024-09-02 15:39:28,0.8019,5.86939811
80,58627.2348,0.0791,2024-09-02 15:41:28,139.69,0.0815,0.0,0.0775,0.9892,-30.12832,1e-05,0.74241,1.05378,81.16,BTC,2024-09-03,54000.0,Call,4637.41427268,0.0054794520547945,0.0529857534246575,2024-09-02 15:42:13,0.8116,5.8654215
81,58624.9109,0.0788,2024-09-02 15:44:13,140.35,0.0815,0.0,0.0765,0.98863,-31.76335,1e-05,0.77519,1.05007,81.95,BTC,2024-09-03,54000.0,Call,4619.64297892,0.0054794520547945,0.0529857534246575,2024-09-02 15:44:56,0.8195,11.71542244
82,58736.4265,0.0808,2024-09-02 15:46:56,139.36,0.083,0.0,0.079,0.98952,-29.93244,1e-05,0.72263,1.04803,82.84,BTC,2024-09-03,54000.0,Call,4745.9032612,0.0054794520547945,0.0529857534246575,2024-09-02 15:47:47,0.8284,5.8761987200000005
83,58697.5217,0.0801,2024-09-02 15:49:47,132.61,0.082,0.0,0.078,0.98855,-32.52387,1e-05,0.77904,1.04488,83.5,BTC,2024-09-03,54000.0,Call,4701.67148817,0.0054794520547945,0.0529857534246575,2024-09-02 15:50:34,0.835,5.871309330000001
84,58429.0214,0.0759,2024-09-02 20:38:33,153.82,0.078,0.0,0.073,0.99338,-17.36433,1e-05,0.40711,0.75579,85.31,BTC,2024-09-03,54000.0,Call,4434.762724259999,0.0054794520547945,0.0529857534246575,2024-09-02 20:39:16,0.8531,5.8457594
85,58426.627,0.0758,2024-09-02 20:41:16,154.43,0.078,0.0,0.074,0.99335,-17.41872,1e-05,0.40838,0.75577,85.31,BTC,2024-09-03,54000.0,Call,4428.738326600001,0.0054794520547945,0.0529857534246575,2024-09-02 20:41:59,0.8531,5.84410433
86,58442.3116,0.0761,2024-09-02 20:43:59,150.97,0.078,0.0,0.074,0.99369,-16.57843,1e-05,0.38868,0.74992,85.31,BTC,2024-09-03,54000.0,Call,4447.45991276,0.0054794520547945,0.0529857534246575,2024-09-02 20:44:41,0.8531,5.84322429
87,58468.9181,0.0765,2024-09-02 20:46:41,162.01,0.079,0.0,0.075,0.99399,-15.84781,1e-05,0.37155,0.74813,85.31,BTC,2024-09-03,54000.0,Call,4472.87223465,0.0054794520547945,0.0529857534246575,2024-09-02 20:47:24,0.8531,5.84568932
88,58447.3535,0.0762,2024-09-02 20:49:24,150.01,0.078,0.0,0.074,0.99385,-16.14923,1e-05,0.37862,0.74598,85.31,BTC,2024-09-03,54000.0,Call,4453.6883367,0.0054794520547945,0.0529857534246575,2024-09-02 20:50:07,0.8531,5.844801980000001
89,58451.7236,0.0762,2024-09-02 20:52:07,148.89,0.078,0.0,0.074,0.99392,-15.97667,1e-05,0.37457,0.74502,85.31,BTC,2024-09-03,54000.0,Call,4454.02133832,0.0054794520547945,0.0529857534246575,2024-09-02 20:52:50,0.8531,5.84413947
90,58445.6722,0.0761,2024-09-02 20:54:50,151.09,0.078,0.0,0.074,0.99401,-15.71157,1e-05,0.36836,0.73999,85.31,BTC,2024-09-03,54000.0,Call,4447.71565442,0.0054794520547945,0.0529857534246575,2024-09-02 20:55:33,0.8531,5.845925650000001
91,58444.2721,0.0761,2024-09-02 20:57:33,151.69,0.078,0.0,0.074,0.99406,-15.58444,1e-05,0.36538,0.73798,85.31,BTC,2024-09-03,54000.0,Call,4447.60910681,0.0054794520547945,0.0529857534246575,2024-09-02 20:58:15,0.8531,5.84422875
92,58462.703,0.0764,2024-09-02 21:00:15,146.83,0.078,0.0,0.075,0.99434,-14.89722,1e-05,0.34927,0.73412,85.31,BTC,2024-09-03,54000.0,Call,4466.550509199999,0.0054794520547945,0.0529857534246575,2024-09-02 21:00:59,0.8531,5.84601997
93,58419.9294,0.0757,2024-09-02 21:02:59,158.68,0.078,0.0,0.074,0.99401,-15.62476,1e-05,0.36632,0.73182,85.31,BTC,2024-09-03,54000.0,Call,4422.38865558,0.0054794520547945,0.0529857534246575,2024-09-02 21:03:41,0.8531,5.840860790000001
94,58439.1717,0.076,2024-09-02 21:05:41,154.03,0.078,0.0,0.074,0.99427,-14.99269,1e-05,0.35151,0.72897,85.31,BTC,2024-09-03,54000.0,Call,4441.377049199999,0.0054794520547945,0.0529857534246575,2024-09-02 21:06:23,0.8531,5.841471360000001
95,58473.6319,0.0766,2024-09-02 21:08:23,163.36,0.079,0.0,0.074,0.99465,-14.08269,1e-05,0.33017,0.72621,85.31,BTC,2024-09-03,54000.0,Call,4479.08020354,0.0054794520547945,0.0529857534246575,2024-09-02 21:09:05,0.8531,5.8484672
