Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate
56574.14,0.4706,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.95599,-10.712,1e-05,19.88167,-115.00618,56.04,BTC,2024-08-30,83000.0,Put,26623.790284000002,0.14009570464594717,0.05248212441603973
56574.14,0.6276,2024-07-10 02:22:14,71.89,0.631,0.0,0.626,-0.98118,-5.63133,0.0,9.74847,-127.86173,59.24,BTC,2024-08-30,92000.0,Put,35505.930264,0.14009570464594717,0.05248212441603973
56768.21,0.4384,2024-07-10 02:22:14,74.18,0.4415,0.0,0.436,0.98223,-4.59648,0.0,11.58625,67.05386,62.9,BTC,2024-09-27,32000.0,Call,24887.183264,0.21659843688638433,0.052369475251276325
59312.29,0.3268,2024-07-10 02:22:14,0.0,0.0,0.0,0.006,-0.43793,-28.75947,1e-05,197.96065,-325.29469,76.06,BTC,2025-03-28,66000.0,Put,19383.256372,0.7138661964492258,0.049531256342724955
56574.14,0.2053,2024-07-10 02:22:14,52.62,0.2075,48.0,0.2025,-0.78706,-30.42198,3e-05,61.6111,-78.871,50.64,BTC,2024-08-30,67000.0,Put,11614.670942,0.14009570464594717,0.05248212441603973
57776.88,0.0837,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.35797,-27.00784,2e-05,147.66451,74.25115,62.56,BTC,2024-12-27,74000.0,Call,4835.924856,0.4652323166678051,0.05112096794295573
57203.57,0.0007,2024-07-10 02:22:14,226.52,0.0755,0.0,0.0,0.02048,-13.67108,1e-05,4.50575,0.28825,56.3,BTC,2024-07-19,69000.0,Call,40.042499,0.02534160628529144,0.05233294408817089
56574.52,0.0061,2024-07-10 02:22:14,54.64,0.006,52.15,0.0048,0.0718,-15.49599,1e-05,29.03148,5.22541,54.74,BTC,2024-08-30,78000.0,Call,345.104572,0.14009570464594717,0.05248212441603973
56911.84,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00285,-2.57075,0.0,1.07324,0.07178,81.49,BTC,2024-07-26,94000.0,Call,5.691184,0.04446728934540073,0.05235780747614902
60399.32,1.2149,2024-07-10 02:22:14,71.85,1.2225,64.78,1.2025,-0.78418,-17.08109,1e-05,173.76023,-1165.33198,69.26,BTC,2025-06-27,130000.0,Put,73379.133868,0.9625000762306466,0.047939999512123854
